,Compound,xBi(Me1Me2)O3,xPT,Tolerance_Factor,Ionic_Displacements,Ferroelectric_Tc_in_Kelvin
0,BiFeO3-PT,0.201,0.7989999999999999,1.015227347551916,0.087791535,815.725
1,BiFeO3-PT,0.297,0.7030000000000001,1.0095072924968673,0.093506895,839.8
2,BiFeO3-PT,0.396,0.604,1.0036084857213483,0.09940086000000001,863.813
3,BiFeO3-PT,0.498,0.502,0.9975309272253591,0.10547343,915.276
4,BiFeO3-PT,0.598,0.402,0.9915725365430166,0.11142693,956.039
5,BiFeO3-PT,0.695,0.30500000000000005,0.9857928975811445,0.117201825,1014.518
6,BiFeO3-PT,0.796,0.20399999999999996,0.9797749229919785,0.12321486000000001,1064.637
7,BiFeO3-PT,0.898,0.10199999999999998,0.9736973644959892,0.12928743,1100.5430000000001
8,BiZnTiO3-PT,0.0,1.0,1.0272037128234244,0.075825,768.119
9,BiZnTiO3-PT,0.098,0.902,1.0200751275766913,0.08411335000000002,803.026
10,BiZnTiO3-PT,0.2,0.8,1.0126555796668262,0.09274000000000002,839.881
11,BiZnTiO3-PT,0.249,0.751,1.0090912870434594,0.09688417500000002,863.922
12,BiZnTiO3-PT,0.297,0.7030000000000001,1.0055997350858759,0.10094377500000001,922.024
13,BiZnTiO3-PT,0.397,0.603,0.9983256685075765,0.109401275,989.645
14,Bi(MgW)O3-PT,0.048,0.952,1.0233191466700005,0.07558476000000001,755.268
15,Bi(MgW)O3-PT,0.103,0.897,1.018868081285869,0.07530948500000001,736.2370000000001
16,Bi(MgW)O3-PT,0.132,0.868,1.016521155901509,0.07516434000000001,725.456
17,Bi(MgW)O3-PT,0.149,0.851,1.0151453720555046,0.07507925500000001,706.6089999999999
18,Bi(MgW)O3-PT,0.173,0.827,1.0132030889787926,0.07495913500000001,704.521
19,Bi(MgW)O3-PT,0.203,0.7969999999999999,1.010775235132903,0.07480898500000001,681.866
20,Bi(MgW)O3-PT,0.252,0.748,1.0068097405179495,0.07456374,643.352
21,Bi(MgW)O3-PT,0.501,0.499,0.9866585535970636,0.07331749500000001,492.621
22,Bi(MgW)O3-PT,0.52,0.48,0.985120912828,0.07322240000000002,492.628
23,Bi(MgW)O3-PT,0.539,0.46099999999999997,0.9835832720589364,0.073127305,469.91999999999996
24,Bi(MgW)O3-PT,0.559,0.44099999999999995,0.9819647028283431,0.07302720500000001,446.804
25,Bi(MgW)O3-PT,0.58,0.42000000000000004,0.9802652051362202,0.0729221,446.80899999999997
26,Bi(MgW)O3-PT,0.599,0.401,0.9787275643671567,0.07282700500000001,430.036
27,Bi(MgNb)O3-PT,0.003,0.997,1.0269562964017165,0.07586736499999999,767.673
28,Bi(MgNb)O3-PT,0.049,0.951,1.0231625779355291,0.07651696166666667,767.809
29,Bi(MgNb)O3-PT,0.101,0.899,1.0188740266259257,0.07725128833333335,756.99
30,Bi(MgNb)O3-PT,0.15,0.85,1.0148328917380305,0.07794325,741.767
31,Bi(MgNb)O3-PT,0.197,0.8029999999999999,1.0109567011312737,0.07860696833333333,723.031
32,Bi(MgNb)O3-PT,0.249,0.751,1.0066681498216703,0.079341295,695.845
33,BiInO3-PT,0.152,0.848,1.0075436461120173,0.07504904,821.256
34,BiInO3-PT,0.2,0.8,1.0013352039926255,0.07480400000000001,833.891
35,BiInO3-PT,0.3,0.7,0.9884009495772259,0.07429350000000001,836.955
36,BiInO3-PT,0.342,0.6579999999999999,0.9829685627227582,0.07407909,820.457
